title,totalScore,url,reviewsCount
Rumah Hantu Braga,"4,2",https://www.google.com/maps/search/?api=1&query=Rumah%20Hantu%20Braga&query_place_id=ChIJ16DnDkTnaC4RY3EoRrrK5TE,145
Hotel Kumala,"4,2",https://www.google.com/maps/search/?api=1&query=Hotel%20Kumala&query_place_id=ChIJDRoWxy7maC4Ryf9ZMhvNkiY,886
Villa ambalat,5,https://www.google.com/maps/search/?api=1&query=Villa%20ambalat&query_place_id=ChIJY1LyYrzDaC4Rsb1y-gQrp_s,2
Hidden Gem,,https://www.google.com/maps/search/?api=1&query=Hidden%20Gem&query_place_id=ChIJcSf0SADDaC4RMGz0NBkxkiQ,
TRITAN POINT EVENT SPACE BANDUNG,"4,4",https://www.google.com/maps/search/?api=1&query=TRITAN%20POINT%20EVENT%20SPACE%20BANDUNG&query_place_id=ChIJsdMHPQDDaC4Re3tGFwZ3maQ,35
Curinghak entertaiment,,https://www.google.com/maps/search/?api=1&query=Curinghak%20entertaiment&query_place_id=ChIJm6Y1TyXDaC4Rt17oweGOkmo,
Pemancingan Bah Aep (PBA),5,https://www.google.com/maps/search/?api=1&query=Pemancingan%20Bah%20Aep%20(PBA)&query_place_id=ChIJca0zYgDdaC4RtlLCViv2_1E,1
RUMAH BAPAK KAU,,https://www.google.com/maps/search/?api=1&query=RUMAH%20BAPAK%20KAU&query_place_id=ChIJKdG6Vw_DaC4ROYs4o4T-DD0,
Galeri Rasulullah MRAJ,"4,7",https://www.google.com/maps/search/?api=1&query=Galeri%20Rasulullah%20MRAJ&query_place_id=ChIJlYH3W-DDaC4R4awJLfjCKJU,181
Sinar Haus,,https://www.google.com/maps/search/?api=1&query=Sinar%20Haus&query_place_id=ChIJr18zFQDdaC4RwZa-rRaNHMo,
Parkiran Bus Zona D,,https://www.google.com/maps/search/?api=1&query=Parkiran%20Bus%20Zona%20D&query_place_id=ChIJhbinRQDDaC4RmPJVSj1IrAs,
Saung saluyu,,https://www.google.com/maps/search/?api=1&query=Saung%20saluyu&query_place_id=ChIJZxZQLgDDaC4RD0uoqh-O6Z0,
Home,,https://www.google.com/maps/search/?api=1&query=Home&query_place_id=ChIJqX0yOwDDaC4Ro1PFyc7vgJ8,
Desa Wisata Cokelat Asli Indonesia,,https://www.google.com/maps/search/?api=1&query=Desa%20Wisata%20Cokelat%20Asli%20Indonesia&query_place_id=ChIJWeVgXtPdaC4Rq6O69dMtNtQ,
GKT PARAHYANGAN CIMEKAR,,https://www.google.com/maps/search/?api=1&query=GKT%20PARAHYANGAN%20CIMEKAR&query_place_id=ChIJRaaRFADDaC4RWQa7_ME2Qrs,
Bandung,5,https://www.google.com/maps/search/?api=1&query=Bandung&query_place_id=ChIJbWa_GvvnaC4RjmpcC3cHW68,1
Monumen Husein Sastranegara,"4,6",https://www.google.com/maps/search/?api=1&query=Monumen%20Husein%20Sastranegara&query_place_id=ChIJxwtYa23maC4RKBzOZSP6_ZM,2397
THOLLOHEOR PRODUCTION,5,https://www.google.com/maps/search/?api=1&query=THOLLOHEOR%20PRODUCTION&query_place_id=ChIJ3xnUNhTDaC4RijzxXDuB3Pw,2
PASTEUR HARAM JADAH,,https://www.google.com/maps/search/?api=1&query=PASTEUR%20HARAM%20JADAH&query_place_id=ChIJ-bEmdgDnaC4R79bd3NQN6fs,
Rumah Pompa Cingises,5,https://www.google.com/maps/search/?api=1&query=Rumah%20Pompa%20Cingises&query_place_id=ChIJb3DQX7fDaC4RsiloY6vYdY8,2
Pemancingan NZA,"4,9",https://www.google.com/maps/search/?api=1&query=Pemancingan%20NZA&query_place_id=ChIJ8fkB2U3daC4R5AATLg5rZrE,8
Taman Syurga UIN Kampus 2,5,https://www.google.com/maps/search/?api=1&query=Taman%20Syurga%20UIN%20Kampus%202&query_place_id=ChIJxUiNttfDaC4RkbXnPjCaxh4,13
MSM,5,https://www.google.com/maps/search/?api=1&query=MSM&query_place_id=ChIJza5dsxndaC4R9WM9svD3-5c,1
Lahan Praktikum Agroteknologi UIN Sunan Gunung Djati Bandung,5,https://www.google.com/maps/search/?api=1&query=Lahan%20Praktikum%20Agroteknologi%20UIN%20Sunan%20Gunung%20Djati%20Bandung&query_place_id=ChIJJ764AgDDaC4RPgUF7EFvI1A,1
Parkiran Kendaraan Kecil Mesjid Al Jabar,5,https://www.google.com/maps/search/?api=1&query=Parkiran%20Kendaraan%20Kecil%20Mesjid%20Al%20Jabar&query_place_id=ChIJqV9kKgDDaC4R8q7yCYp0rYQ,1
Sumarecon,5,https://www.google.com/maps/search/?api=1&query=Sumarecon&query_place_id=ChIJ63CPBwDDaC4ROJK30cp5Xpo,1
eks stasiun cimekar lama,5,https://www.google.com/maps/search/?api=1&query=eks%20stasiun%20cimekar%20lama&query_place_id=ChIJXfKIDwDDaC4RF6T9LQMgYn8,1
Home Abenk,5,https://www.google.com/maps/search/?api=1&query=Home%20Abenk&query_place_id=ChIJx5cKaADDaC4RpisOCoi6cfM,1
Basecamp Informatika,5,https://www.google.com/maps/search/?api=1&query=Basecamp%20Informatika&query_place_id=ChIJgWjLQwDDaC4RA5kQgq-INfU,4
Homesatria,,https://www.google.com/maps/search/?api=1&query=Homesatria&query_place_id=ChIJg9Qea6XdaC4Rv4JRaLrIio8,
